"Código","Municipio","Total de viviendas particulares","Material Predominante del Techo","Cantidad de Viviendas","Porcentaje de Viviendas Particulares"
2207,"Atescatempa",5916,"Material de desecho",0,0
2207,"Atescatempa",5916,"Otro",7,0.12
2207,"Atescatempa",5916,"No especificado",0,0
2208,"Jerez",2315,"Concreto",195,8.42
2208,"Jerez",2315,"Lámina metálica",1543,66.65
2208,"Jerez",2315,"Asbesto cemento",21,0.91
2208,"Jerez",2315,"Teja",549,23.71
2208,"Jerez",2315,"Paja, palma o similar",3,0.13
2208,"Jerez",2315,"Material de desecho",1,0.04
2208,"Jerez",2315,"Otro",3,0.13
2208,"Jerez",2315,"No especificado",0,0
2209,"El Adelanto",1717,"Concreto",100,5.82
2209,"El Adelanto",1717,"Lámina metálica",1308,76.18
2209,"El Adelanto",1717,"Asbesto cemento",2,0.12
2209,"El Adelanto",1717,"Teja",306,17.82
2209,"El Adelanto",1717,"Paja, palma o similar",0,0
2209,"El Adelanto",1717,"Material de desecho",0,0
2209,"El Adelanto",1717,"Otro",0,0
2209,"El Adelanto",1717,"No especificado",1,0.06
2210,"Zapotitlán",2423,"Concreto",161,6.64
2210,"Zapotitlán",2423,"Lámina metálica",1784,73.63
2210,"Zapotitlán",2423,"Asbesto cemento",23,0.95
2210,"Zapotitlán",2423,"Teja",453,18.7
2210,"Zapotitlán",2423,"Paja, palma o similar",2,0.08
2210,"Zapotitlán",2423,"Material de desecho",0,0
2210,"Zapotitlán",2423,"Otro",0,0
2210,"Zapotitlán",2423,"No especificado",0,0
2211,"Comapa",8048,"Concreto",337,4.19
2211,"Comapa",8048,"Lámina metálica",7209,89.58
2211,"Comapa",8048,"Asbesto cemento",32,0.4
2211,"Comapa",8048,"Teja",456,5.67
2211,"Comapa",8048,"Paja, palma o similar",6,0.07
2211,"Comapa",8048,"Material de desecho",0,0
2211,"Comapa",8048,"Otro",5,0.06
2211,"Comapa",8048,"No especificado",3,0.04
2212,"Jalpatagua",8774,"Concreto",610,6.95
2212,"Jalpatagua",8774,"Lámina metálica",7652,87.21
2212,"Jalpatagua",8774,"Asbesto cemento",95,1.08
2212,"Jalpatagua",8774,"Teja",384,4.38
2212,"Jalpatagua",8774,"Paja, palma o similar",7,0.08
2212,"Jalpatagua",8774,"Material de desecho",1,0.01
2212,"Jalpatagua",8774,"Otro",11,0.13
2212,"Jalpatagua",8774,"No especificado",14,0.16
2213,"Conguaco",4888,"Concreto",135,2.76
2213,"Conguaco",4888,"Lámina metálica",4626,94.64
2213,"Conguaco",4888,"Asbesto cemento",16,0.33
2213,"Conguaco",4888,"Teja",68,1.39
2213,"Conguaco",4888,"Paja, palma o similar",24,0.49
2213,"Conguaco",4888,"Material de desecho",4,0.08
2213,"Conguaco",4888,"Otro",4,0.08
2213,"Conguaco",4888,"No especificado",11,0.23
2214,"Moyuta",11393,"Concreto",455,3.99
2214,"Moyuta",11393,"Lámina metálica",10131,88.92
2214,"Moyuta",11393,"Asbesto cemento",57,0.5
2214,"Moyuta",11393,"Teja",246,2.16
2214,"Moyuta",11393,"Paja, palma o similar",441,3.87
2214,"Moyuta",11393,"Material de desecho",3,0.03
2214,"Moyuta",11393,"Otro",45,0.39
2214,"Moyuta",11393,"No especificado",15,0.13
2215,"Pasaco",2852,"Concreto",114,4
2215,"Pasaco",2852,"Lámina metálica",2431,85.24
2215,"Pasaco",2852,"Asbesto cemento",11,0.39
2215,"Pasaco",2852,"Teja",144,5.05
2215,"Pasaco",2852,"Paja, palma o similar",149,5.22
2215,"Pasaco",2852,"Material de desecho",0,0
2215,"Pasaco",2852,"Otro",2,0.07
2215,"Pasaco",2852,"No especificado",1,0.04
2216,"San José Acatempa",4301,"Concreto",420,9.77
2216,"San José Acatempa",4301,"Lámina metálica",3692,85.84
2216,"San José Acatempa",4301,"Asbesto cemento",11,0.26
2216,"San José Acatempa",4301,"Teja",177,4.12
2216,"San José Acatempa",4301,"Paja, palma o similar",1,0.02
2216,"San José Acatempa",4301,"Material de desecho",0,0
2216,"San José Acatempa",4301,"Otro",0,0
2216,"San José Acatempa",4301,"No especificado",0,0
2217,"Quesada",6493,"Concreto",653,10.06
2217,"Quesada",6493,"Lámina metálica",4796,73.86
2217,"Quesada",6493,"Asbesto cemento",42,0.65
2217,"Quesada",6493,"Teja",991,15.26
2217,"Quesada",6493,"Paja, palma o similar",7,0.11
2217,"Quesada",6493,"Material de desecho",0,0
2217,"Quesada",6493,"Otro",2,0.03
2217,"Quesada",6493,"No especificado",2,0.03
